rating,text,timestamp,sentiment
1.0,The Kids wanted it and watched.  I thought it was just noisy.,1453930439000,negative
3.0,My 7 year old grandson had me watch this.  It is so outrageous it keeps your attention as to where these sharks can swim and fly next.,1402404892000,neutral
5.0,"Very good movie and enjoyed it very much.  I love Denzel, he did a great job acting.  I'll probably watch it again.",1398870334000,positive
5.0,"Great series, loved it.  Very easy to get right into the plot.  Can't wait for Season 5 to start January 2015.<br />Amazon Prime is great.",1397309345000,positive
5.0,This film has become my favorite movie. Denzel Washington at his finest and supporting cast also. Recommended if you like ACTION!,1566075686049,neutral
5.0,Thrilled to get it!  Arrived on time!,1486151842000,neutral
1.0,"DVD-Rs SUK!!!<br />1st time using & last …<br /><br />If manufacturers are going to push crappy copies out, they will be immediately returned.<br />e.g. both players refused to play, then sounded like going to blow up",1566587391543,neutral
5.0,The best show ever after supernatural.,1483382077000,neutral
5.0,Great series!!,1436464650000,neutral
5.0,This show is very fun to watch. It helps us realize how much we have to be thankful for. I would recommend this show to anyone.,1377802113000,neutral
5.0,Wake up call.  Good,1430761656000,neutral
5.0,#42 Jackie Robinson.  the DVD is very good.  I liked it a lot.  I think its great that MLB honors Jackie on his birthday by everyone on every team wearing the Jersey with the #42 on it.  its all good,1397750064000,positive
1.0,"It was included in my Prime Video account, but I was prompted to buy it.  I thought that was necessary to view it.  I feel cheated.",1601235970126,neutral
5.0,"I have always admired Jane Goodall and borrowed this from my library as soon as it became available. This is a story about her early life when researching chimpanzees in Gombe Stream National Park in Africa. Most of the footage shown in this documentary is from the 1960's and filmed by her husband at that time (Hugo van Lawick). I found her narration and video riveting. Jane is a sensible woman who lived out her dream but also had to suffer and witness hardships due to that dream. Her immersion into the chimpanzee community has given the world more insight into these primates than any other researcher.<br /><br />I LOVED this documentary so much that I did not want it to end. Jane is the type of person who I wish I had the opportunity to converse with for hours. She has a wonderful philosophy on life and both human and animal nature.<br /><br />My only disappointment with the film is the loud music played throughout the movie. The tunes were so loud that they almost drowned out Jane's soft-spoken voice. It would have been much better if nature's sounds or music the volume of a &#34;whisper&#34; were played instead.  Other than this, this film was sensational in my eyes.",1532659083014,positive
2.0,"I found this to be a lousy movie with chaotic scenes, lots of nonsensical cursing, and very little dancing. Only one scene at the beginning had about 30 seconds of dance (which was incredible and the best of the entire movie) and then about 10 minutes at the end (most of which was filled up with special affects and props that made the dances less visible). In addition, most of the movement was raunchy--not necessarily a bad thing but it lacked artistic style in my opinion. This movie was very disappointing; I'm so glad I borrowed it from the library.",1448718427000,neutral
4.0,"I immediately liked this documentary from the start but by the time I was done viewing it I was in love.<br /><br />""Tell it on the Mountain"" is a documentary that captures the motivation, unwavering determination, and personal setbacks of several hikers who embark on a five-month wilderness journey along the Pacific Crest Trail (PCT).<br /><br />The PCT is a 2,663 mile footpath extending from the Mexican to Canadian Border. The two other major US trails are the Appalachian Trail (AT) and the Continental Divide Trail (CDT). Part of the PCT traverses the Sierras which are both beautiful and treacherous. The scenery captured in these parts is both captivating and sometimes scary.<br /><br />The hikers profiled are from various backgrounds and countries.  Some travel solo and others travel as a pair including a couple who hiked to their wedding. Most of the trekkers thru (one way) hike but one hiker does a yo-yo (round-trip) hike.  The hikers in many cases document their own journey, travelling with the camera affixed to them as they walk.  Although some of the filming is shaky as a result, at times it made the experience more real and I often felt as if I were tagging along in the scene.<br /><br />These hikers are motivated to hike the PCT for many reasons.  For some it may be to reach a lofty goal and for others it may be to get the weight of the world off their shoulders.  One reason Inaki, the Spanish fellow, hikes is because ""It's much better to go for something and realize that you were wrong, than not knowing at all if you were wrong or right.""  I could not agree more;  after all, what is life if all you have are regrets?<br /><br />The film left me so energized that I had trouble sleeping last night. It roused my adventurous nature and I began reliving my 2005 journey to Antarctica and that trip's Shackleton walk.  It also brought back memories of my time in camp as a teenager in the early 70's when, on several occasions, I overnight hiked the Sussex County portion of the AT with just a sleeping bag for protection. It was during my AT hikes that I developed a dream to hike the entire AT. Although I never did that thru hike and probably never will, this film certainly rekindled that desire.<br /><br />In summary, ""Tell it on the Mountain"" gives a glimpse of what motivates a handful of adventurous hikers to go on this long journey surrounded by nature and relying mostly on their own fortitude to live the simplest of existence for part of one year.<br /><br />POSTSCRIPT:  I received a review copy of this documentary from the producer and I found the pre-release version of the film to be very close to five stars.  For those who are interested in a more in-depth understanding of one person's motivation to hike the PCT, I recommend reading [[ASIN:0307592731 Wild: From Lost to Found on the Pacific Crest Trail (Oprah's Book Club 2.0)]].<br /><br />UPDATE March 23, 2013 - I watched this film again but this time with my boyfriend. He gives it five stars and feels it's a quality production.  He actually stayed up late to watch it and did not fall asleep like he usually does when watching videos so I know he enjoyed it as did I a second time around.",1363919077000,neutral
5.0,"For me this was an utterly heartbreaking movie.<br /><br />This documentary is a about both sides of the exotic animal trade; those that keep exotic animals for pets and those that disagree with that and want to outlaw this practice.  In our society we are often led to believe that owning an exotic animal is cool, cute, or something easy to do.  However, this is rarely the case and this documentary exposes both sides of the story.<br /><br />Tim Harrison is the safety officer called in to rescue many of these animals when they are discarded. Terry Brumfield is one of the several exotic animal owners who loves his lions like children.  There is no easy answer on this issue.  As a pet owner I understand the tremendous bond a human has with their animal and the bond with an exotic animal would be no different.  They are like your children.  However, I also believe wild animals should remain in the wild and people should not try to domesticate them.  I have no doubt there are wonderful exotic animal owners out there, but I think many exotic animal owners are unaware of what they are getting themselves into. In many cases it is unfair to the animal to be kept in captivity to live a life we think is appropriate for them.<br /><br />This documentary highlighted both sides of the debate and from both sides it was heartbreaking to watch and also provoked anger at the inadequate confinement and care of some of the exotic animals depicted.",1343525368000,positive
4.0,"This is a very interesting movie about lyme disease, the neurological effects of this disease, and how this disease can affect those who contract it.  There is a slight political edge to the movie in the sense that it highlights how many doctors and patients feel they are being ignored and told that what they have can't possibly be lyme disease and that it's all in their head.  Those who heavily believe in lyme disease link it to Multiple Sclerosis, Parkinson's Disease, Alzheimer's disease, etc.<br /><br />Although the movie is more about those who support lyme disease and the theory that its effects are prevalent, I still feel ""Under Our Skin"" highlights the opposing side as well. Some doctors and all insurance agencies (it seems) consider this a very treatable disease but this movie made me think, are they wrong?",1343512821000,neutral
